day;m1
1;0.166667
2;0.266667
3;0.4
4;0.433333
5;0.633333
6;0.8
7;0.9
8;0.966667
9;1
10;1
11;1
12;1
13;1
14;1
15;1
16;1
17;1
18;1
19;1
20;1
21;1
22;1
23;1
24;1
25;1
26;1
27;1
28;1
29;1
30;1
31;1
32;0.966667
33;1
34;1
35;1
36;1
37;1
38;1
39;1
40;1
41;1
42;1
43;1
44;1
45;0.966667
46;1
47;1
48;1
49;0.966667
50;1
51;1
52;1
53;1
54;1
55;1
56;1
57;1
58;1
59;0.966667
60;1
61;1
62;1
63;1
64;1
65;1
66;0.966667
67;1
68;1
69;0.966667
70;0.966667
71;0.966667
72;1
73;0.966667
74;1
75;0.966667
76;0.966667
77;0.966667
78;1
79;1
80;1
81;0.966667
82;1
83;1
84;0.966667
85;1
86;0.966667
87;0.966667
88;0.966667
89;1
90;1
91;1
92;1
93;0.966667
94;1
95;0.966667
96;0.966667
97;1
98;1
99;1
100;1
101;1
102;1
103;1
104;1
105;1
106;1
107;1
108;1
109;1
110;1
111;1
112;1
113;1
114;0.966667
115;1
116;1
117;1
118;1
119;1
120;1
121;1
122;1
123;1
124;1
125;1
126;0.966667
127;0.966667
128;0.966667
129;1
130;1
131;1
132;1
133;1
134;1
135;1
136;1
137;1
138;1
139;0.966667
140;1
141;1
142;1
143;1
144;1
145;0.966667
146;1
147;1
148;1
149;1
150;0.966667
151;1
152;1
153;1
154;1
155;1
156;1
157;0.966667
158;1
159;1
160;1
161;1
162;1
163;1
164;1
165;1
166;1
167;0.966667
168;1
169;1
170;0.966667
171;0.966667
172;1
173;1
174;1
175;1
176;1
177;0.966667
178;1
179;1
180;1
181;0.966667
182;1
183;1
184;1
185;1
186;1
187;1
188;1
189;1
190;1
191;1
192;1
193;1
194;1
195;0.966667
196;0.966667
197;1
198;1
199;0.966667
200;1
